Train_no,Train_name,Starts,Ends,No_seats
12723,Andhra Pradesh Express,Hyderabad Decan,New Delhi,20
22416,Andhra Pradesh Express,New Delhi,Vishakapatnam,20
12724,Andhra Pradesh Express,New Delhi,Hyderabad Decan,20
12707,Andhra Pradesh Sampark Kranti,Tirupati,H Nizamuddin,20
15909,Abadh Assam Express,New Tinsukia Junction,Darbhanga Junction,20
18242,Abkp Durg Passenger E,Ambikapur,Durg,20
11266,Abkp Jbp Express,Ambikapur,Jabalpur,20
58702,Abkp Sdl Passenger,Ambikapur,Shahdol,20
54703,Abs Ju Passengr,Abohar,Jodhpur Junction,20
7509,Adb Qln Special,Adilabad,Kollam Junction,20
9416,Adi Madgaon Special,Ahmedabad Junction,Madgaon,20
19417,Adi Ald Express,Ahmedabad Junction,Allahabad Junction,20
9427,Adi Ald Special,Ahmedabad Junction,Allahabad Junction,20
9018,Adi Bct Ac Special,Ahmedabad Junction,Mumbai Central,20
14804,Adi Bgkt Express,Ahmedabad Junction,Bhagat Ki Kothi,20
4804,Adi Bgkt Special,Ahmedabad Junction,Bhagat Ki Kothi,20
9421,Adi Bme Ac Special,Ahmedabad Junction,Barmer,20
19130,Adi Brc Intercity,Ahmedabad Junction,Vadodara Junction,20
2713,Adi Bza Superfast Special,Ahmedabad Junction,Vijayawada Junction,20
19420,Adi Chennai Express,Ahmedabad Junction,Chennai Central,20
9417,Adi Dee Premium,Ahmedabad Junction,Delhi S Rohilla,20
12931,Adi Double Deck,Mumbai Central,Ahmedabad Junction,20
12267,Adi Duronto Express,Mumbai Central,Ahmedabad Junction,20
12298,Adi Duronto Express,Pune Junction,Ahmedabad Junction,20
9425,Adi Jaipur Special,Ahmedabad Junction,Jaipur,20
19223,Adi Jat Express,Ahmedabad Junction,Jammu Tawi,20
19606,Adi Koaa Express,Ahmedabad Junction,Kolkata,20
19401,Adi Lucknow Express,Ahmedabad Junction,Lucknow Nr,20
9413,Adi Lucknow Special,Ahmedabad Junction,Lucknow Nr,20
9420,Adi Majn Superfast Special,Ahmedabad Junction,Mangalore Junction,20
9411,Adi Patna Special,Ahmedabad Junction,Patna Junction,20
19421,Adi Pnbe Express,Ahmedabad Junction,Patna Junction,20
18406,Adi Puri Express,Ahmedabad Junction,Puri,20
12844,Adi Puri Express,Ahmedabad Junction,Puri,20
7017,Adi Sc Premium,Ahmedabad Junction,Secunderabad Junction,20
12958,Adi Sj Rajdhani,New Delhi,Ahmedabad Junction,20
19415,Adi Svdk Express,Ahmedabad Junction,Shmata V D Ktra,20
19944,Adi Udz Express,Ahmedabad Mg,Udaipur City,20
19407,Adi Varanasi Express,Ahmedabad Junction,Varanasi Junction,20
16501,Adi Ypr Express,Ahmedabad Junction,Yesvantpur Junction,20
12547,Af Adi Superfast Express,Agra Fort,Ahmedabad Junction,20
12195,Af Aii Intercity,Agra Fort,Ajmer Junction,20
9612,Af Aii Special,Agra Fort,Ajmer Junction,20
12036,Af Jp Shatabdi,Agra Fort,Jaipur,20
15055,Af Rmr Express,Agra Fort,Ramnagar,20
12954,Ag Kranti Rajdhani,H Nizamuddin,Mumbai Central,20
12320,Agc Koaa Express,Agra Cantt,Kolkata,20
13168,Agc Koaa Express,Agra Cantt,Kolkata,20
1436,Agc Pune Special,Agra Cantt,Pune Junction,20
12342,Agnibina Express,Asansol Junction,Howrah Junction,20
12341,Agnibina Express,Howrah Junction,Asansol Junction,20
12548,Agra Super Fast,Ahmedabad Junction,Agra Fort,20
52575,Agtl Dmr Passenger,Agartala,Dharmanagar,20
22645,Ahilyanagari Express,Indore Junction Bg,Trivandrum Cntl,20
22646,Ahilyanagari Express,Trivandrum Cntl,Indore Junction Bg,20
11095,Ahimsa Express,Ahmedabad Junction,Pune Junction,20
11096,Ahimsa Express,Pune Junction,Ahmedabad Junction,20
16502,Ahmadabad Express,Yesvantpur Junction,Ahmedabad Junction,20
59439,Ahmadabad Passenger,Mumbai Central,Ahmedabad Junction,20
59440,Ahmadabad Passenger,Ahmedabad Junction,Borivali,20
19405,Ahmedabad Ac Express,Yesvantpur Junction,Ahmedabad Junction,20
11050,Ahmedabad Express,C Shahumharaj T,Ahmedabad Junction,20
59441,Ahmedabad Passenger,Mumbai Central,Nandurbar,20
59442,Ahmedabad Passenger,Ahmedabad Junction,Mumbai Central,20
9649,Aii Adi Special,Ajmer Junction,Ahmedabad Junction,20
12196,Aii Af Intercity,Ajmer Junction,Agra Fort,20
5712,Aii Apdj Special,Ajmer Junction,Alipur Duar Junction,20
22996,Aii Bdts Superfast Express,Ajmer Junction,Bandra Terminus,20
9611,Aii Bdts Special,Ajmer Junction,Bandra Terminus,20
9619,Aii Bdts Urs Special,Ajmer Junction,Bandra Terminus,20
9602,Aii Beas Special,Ajmer Junction,Udaipur City,20
9601,Aii Beas Special,Ajmer Junction,Beas,20
13424,Aii Bgp Express,Ajmer Junction,Bhagalpur,20
5286,Aii Bju Special,Ajmer Junction,Barauni Junction,20
12983,Aii Cdg G Rath,Ajmer Junction,Chandigarh,20
5104,Aii Cpr Special,Ajmer Junction,Chhapra,20
5238,Aii Dbg Special,Ajmer Junction,Darbhanga Junction,20
12990,Aii Ddr Express,Ajmer Junction,Dadar,20
9627,Aii Dee Superfast Special,Ajmer Junction,Delhi S Rohilla,20
4042,Aii Dli Superfast Special,Ajmer Junction,Delhi,20
18208,Aii Durg Express,Ajmer Junction,Durg,20
19609,Aii Hw Express,Ajmer Junction,Haridwar Junction,20
9640,Aii Hw Special,Ajmer Junction,Haridwar Junction,20
3002,Aii Hwh Special,Ajmer Junction,Howrah Junction,20
17019,Aii Hyb Express,Ajmer Junction,Hyderabad Decan,20
12719,Aii Hyb Superfast Express,Ajmer Junction,Hyderabad Decan,20
7126,Aii Hyb Special,Ajmer Junction,Hyderabad Decan,20
7019,Aii Hyb Special,Ajmer Junction,Hyderabad Decan,20
9312,Aii Indb Special,Ajmer Junction,Indore Junction Bg,20
12066,Aii Jan Shatabd,H Nizamuddin,Ajmer Junction,20
12413,Aii Jat Express,Ajmer Junction,Jammu Tawi,20
9621,Aii Jp Intercity,Ajmer Junction,Jaipur,20
9625,Aii Jp Superfast Special,Ajmer Junction,Jaipur,20
54802,Aii Ju Fast Passenger,Ajmer Junction,Jodhpur Junction,20
7130,Aii Kcg Special,Ajmer Junction,Kacheguda,20
3138,Aii Koaa Special,Ajmer Junction,Howrah Junction,20
19608,Aii Koaa Express,Ajmer Junction,Kolkata,20
16209,Aii Mys Express,Ajmer Junction,Mysore Junction,20
22211,Aii Nzm Duronto,Ajmer Junction,H Nizamuddin,20
18422,Aii Puri Express,Ajmer Junction,Puri,20
8422,Aii Puri Express,Ajmer Junction,Puri,20
19654,Aii Rtm Express,Ajmer Junction,Ratlam Junction,20
12988,Aii Sdah Express,Ajmer Junction,Sealdah,20
3180,Aii Sdah Superfast Special,Ajmer Junction,Sealdah,20
19603,Aii Sln Express,Ajmer Junction,Sultanpur,20
19607,Aii Wkly Express,Kolkata,Ajmer Junction,20
17064,Ajanta Express,Secunderabad Junction,Manmad Junction,20
17063,Ajanta Express,Manmad Junction,Secunderabad Junction,20
19613,Ajmer Asr Express,Ajmer Junction,Amritsar Junction,20
19611,Ajmer Asr Express,Ajmer Junction,Amritsar Junction,20
12989,Ajmer Express,Dadar,Ajmer Junction,20
16210,Ajmer Express,Mysore Junction,Ajmer Junction,20
19411,Ajmer Intercity,Ahmedabad Junction,Ajmer Junction,20
12015,Ajmer Shatabdi,New Delhi,Ajmer Junction,20
12016,Ajmer Shatabdi,Ajmer Junction,New Delhi,20
9650,Ajmer Special,Ahmedabad Junction,Ajmer Junction,20
12120,Ajni Ami Express,Nagpur,Amravati,20
11202,Ajni Ltt Express,Ajni,Lokmanyatilak T,20
17640,Ak Kcg Express,Akola Junction,Kacheguda,20
52994,Ak Mhow F Passenger,Akola Junction,Mhow,20
7507,Ak Qln Special,Akola Junction,Kollam Junction,20
12318,Akal Takhat Express,Amritsar Junction,Sealdah,20
12317,Akal Takht Express,Sealdah,Amritsar Junction,20
14311,Ala Hazrat Express,Bareilly,Bhuj,20
14312,Ala Hazrat Express,Bhuj,Bareilly,20
7092,Ald Hyb Special,Allahabad Junction,Hyderabad Decan,20
19418,Ald Adi Express,Allahabad Junction,Ahmedabad Junction,20
9430,Ald Adi Special,Allahabad Junction,Ahmedabad Junction,20
4421,Ald Anvt Superfast Special,Allahabad Junction,Anand Vihar Trm,20
7240,Ald Cct Special,Allahabad Junction,Kakinada Town,20
4001,Ald Dli Superfast Special,Allahabad Junction,Delhi,20
12276,Ald Duronto Express,New Delhi,Allahabad Junction,20
12293,Ald Duronto Express,Lokmanyatilak T,Allahabad Junction,20
14115,Ald Hw Express,Allahabad Junction,Haridwar Junction,20
4120,Ald Hwh Special,Allahabad Junction,Howrah Junction,20
22442,Ald Intercity,Kanpur Central,Allahabad Junction,20
4121,Ald Jat Ac Special,Allahabad Junction,Jammu Tawi,20
4131,Ald Jat Premium,Allahabad Junction,Jammu Tawi,20
12403,Ald Jp Express,Allahabad Junction,Jaipur,20
12294,Ald Ltt Duronto,Allahabad Junction,Lokmanyatilak T,20
4127,Ald Ltt Premium,Allahabad Junction,Lokmanyatilak T,20
12564,Ald Ltt Superfast Express,Allahabad Junction,Lokmanyatilak T,20
1006,Ald Ltt Special,Allahabad Junction,Lokmanyatilak T,20
4115,Ald Ltt Special,Allahabad Junction,Lokmanyatilak T,20
4111,Ald Ndls Superfast Special,Allahabad Junction,New Delhi,20
4423,Ald Ndls Special,Allahabad Junction,New Delhi,20
7514,Ald Ned Special,Allahabad Junction,Nanded,20
7512,Ald Ned Special,Allahabad Junction,Nanded,20
4113,Ald Uhp Special,Allahabad Junction,Udhampur,20
8576,Ald Vskp Special,Allahabad Junction,Vishakapatnam,20
9429,Allahabad Special,Ahmedabad Junction,Allahabad Junction,20
22639,Alleppey Express,Chennai Central,Alleppey,20
16308,Alleppey Express,Kannur,Alleppey,20
12587,Amar Nath Express,Gorakhpur Junction,Jammu Tawi,20
18047,Amaravathi Express,Howrah Junction,Vasco Da Gama,20
17225,Amaravathi Express,Vijayawada Junction,Hubli Junction,20
17226,Amaravati Express,Hubli Junction,Kacheguda,20
12853,Amarkantak Express,Durg,Bhopal Junction,20
12854,Amarkantak Express,Bhopal Junction,Durg,20
15098,Amarnath Express,Jammu Tawi,Bhagalpur,20
15097,Amarnath Express,Bhagalpur,Jammu Tawi,20
15653,Amarnath Express,Guwahati,Jammu Tawi,20
11265,Ambikapur Express,Jabalpur,Ambikapur,20
13138,Amh Koaa Express,Azamgarh,Kolkata,20
11054,Amh Ltt Express,Azamgarh,Lokmanyatilak T,20
12119,Ami Ajni Express,Amravati,Ajni,20
12159,Ami Jbp Superfast Express,Amravati,Jabalpur,20
11406,Ami Pune Express,Amravati,Pune Junction,20
12766,Ami Tpty Superfast Express,Amravati,Tirupati,20
9050,Ami Udn Passenger Special,Amravati,Udhna Junction,20
